id,Booking_status,Probability
42100,0,0.08579021
42101,0,0.030717243
42102,0,0.34858504
42103,0,0.1879996
42104,1,0.527299
42105,1,0.58266795
42106,1,0.62127966
42107,1,0.76471984
42108,0,4.494629e-09
42109,1,0.5052175
42110,1,0.69341046
42111,0,0.32431838
42112,0,0.452669
42113,0,0.171069
42114,0,0.3396717
42115,1,0.8418898
42116,0,0.03616408
42117,0,0.2831057
42118,1,0.8931809
42119,1,0.87347823
42120,1,0.90213424
42121,0,0.21145801
42122,0,0.006407527
42123,1,0.5553909
42124,1,0.8227816
42125,0,0.0025544504
42126,0,0.0
42127,0,0.0066858646
42128,0,0.32859686
42129,1,0.7370143
42130,1,0.897092
42131,1,0.5432901
42132,0,0.3611155
42133,1,0.97354245
42134,0,0.41037652
42135,0,1.6855715e-18
42136,0,0.024183491
42137,1,0.5119923
42138,1,0.67274183
42139,1,0.84441864
42140,0,0.001145502
42141,0,0.24241549
42142,1,0.6974985
42143,1,0.90490013
42144,0,0.08937043
42145,1,0.8527081
42146,0,0.046013743
42147,1,0.90554637
42148,1,0.58348787
42149,0,0.37486163
42150,0,0.34009093
42151,1,0.73672444
42152,1,0.77716124
42153,0,0.16336718
42154,1,0.58255106
42155,1,0.5100668
42156,0,0.4374374
42157,0,0.037578937
42158,0,0.33881095
42159,1,0.8111503
42160,1,0.72036445
42161,0,3.7798313e-07
42162,0,0.05143742
42163,0,0.041358773
42164,1,0.7428549
42165,0,0.40874535
42166,1,0.8149262
42167,0,1.2291844e-10
42168,1,0.7093686
42169,1,0.5514681
42170,0,0.018342748
42171,0,0.09003208
42172,0,0.40013325
42173,1,0.8509786
42174,0,0.14449458
42175,0,0.27785018
42176,1,0.9060711
42177,0,0.18105163
42178,0,0.040046174
42179,1,0.88519764
42180,1,0.76494384
42181,1,0.5309652
42182,1,0.71134853
42183,1,0.52414626
42184,0,0.07662904
42185,0,0.19179526
42186,0,0.18788363
42187,0,0.3728559
42188,0,0.030611334
42189,0,0.14386247
42190,0,0.3313857
42191,0,0.46550915
42192,0,0.26032582
42193,0,0.33467895
42194,0,0.34299704
42195,1,0.9063215
42196,1,0.8667227
42197,0,0.4669866
42198,1,0.6564692
42199,1,0.5302274
42200,1,0.6190088
42201,1,0.68940246
42202,1,0.50857997
42203,0,0.39126903
42204,1,0.76256245
42205,0,0.21730867
42206,0,0.009988412
42207,1,0.7429244
42208,0,0.033106893
42209,0,0.3710403
42210,0,0.2999295
42211,0,0.27259237
42212,0,0.34625924
